"Timestamp","Gender","Major","How many friends would you say you were extremely close to before quarantine happened?"," Did you reconsider your friendship with your current friends and (re)consider ending the ties with some?","Have you lost any friends since the lockdown?","How much do you use social media in quarantine to stay in touch with your friends?","Did you actively try to interact with new people through social media in order to make new friends during the quarantine?","If yes then which applications did you use from the following (Check as many as you want): ","Have you made any new friends during quarantine from Habib?","Did your mental health suffer during the pandemic? And did you take part in online therapy for it?"
"2020/06/16 5:54:35 pm GMT+5","Female","CS","3-5","No","No","9","No","","No","Yes"
"2020/06/16 5:55:48 pm GMT+5","Female","SDP","3-5","No","No","7","No","","No","No"
"2020/06/16 5:56:06 pm GMT+5","Female","CND","3-5","No","No","7","No","","No","No"
"2020/06/16 5:56:09 pm GMT+5","Female","SDP","3-5","No","No","8","No","","No","Yes"
"2020/06/16 5:57:02 pm GMT+5","Female","SDP","3-5","No","No","3","No","","Yes","Yes"
"2020/06/16 5:57:15 pm GMT+5","Female","CND","6-9","No","No","9","No","Instagram;Facebook;LudoStar;Snapchat","Yes","No"
"2020/06/16 5:58:36 pm GMT+5","Female","CS","3-5","No","No","10","Yes","Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","No"
"2020/06/16 5:58:49 pm GMT+5","Female","CS","3-5","No","No","8","No","","No","No"
"2020/06/16 5:59:05 pm GMT+5","Male","CS","3-5","No","No","7","No","","No","No"
"2020/06/16 5:59:30 pm GMT+5","Female","SDP","6-9","No","No","6","No","","Yes","No"
"2020/06/16 6:08:32 pm GMT+5","Female","EE","6-9","No","No","10","No","","No","Yes"
"2020/06/16 6:10:13 pm GMT+5","Female","SDP","3-5","No","No","3","No","","Yes","Yea but no Therapy"
"2020/06/16 6:10:20 pm GMT+5","Male","CS","3-5","Yes","Yes","6","No","","No","Yea but no Therapy"
"2020/06/16 6:10:52 pm GMT+5","Male","CS","10 or more","Yes","Yes","10","Yes","Instagram;PUBG","Yes","No"
"2020/06/16 6:11:06 pm GMT+5","Female","CS","6-9","No","No","8","No","","No","Yea but no Therapy"
"2020/06/16 6:11:10 pm GMT+5","Male","CS","3-5","Yes","No","6","Yes","Instagram;Facebook;Tiktok","Yes","Yea but no Therapy"
"2020/06/16 6:11:59 pm GMT+5","Male","EE","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/16 6:14:12 pm GMT+5","Female","CND","3-5","No","Yes","6","No","","No","No"
"2020/06/16 6:15:20 pm GMT+5","Male","CS","10 or more","No","No","8","No","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/16 6:16:41 pm GMT+5","Male","CND","6-9","No","No","10","No","","No","Yea but no Therapy"
"2020/06/16 6:18:38 pm GMT+5","Female","SDP","3-5","No","Yes","10","No","Instagram;Facebook;Snapchat","No","Yea but no Therapy"
"2020/06/16 6:20:35 pm GMT+5","Male","SDP","0-2","No","No","6","No","","No","Yes"
"2020/06/16 6:22:17 pm GMT+5","Female","CS","3-5","No","No","7","No","","No","No"
"2020/06/16 6:23:52 pm GMT+5","Female","CND","6-9","Yes","Yes","8","No","Instagram;Facebook;PUBG;Tiktok;Snapchat","No","Yea but no Therapy"
"2020/06/16 6:23:54 pm GMT+5","Male","EE","10 or more","No","No","9","No","Instagram;Facebook;Snapchat","No","No"
"2020/06/16 6:27:20 pm GMT+5","Female","SDP","3-5","No","No","10","No","Instagram;Snapchat","No","Yea but no Therapy"
"2020/06/16 6:27:51 pm GMT+5","Male","EE","3-5","No","Yes","9","Yes","Instagram;Facebook;LudoStar","Yes","Yea but no Therapy"
"2020/06/16 6:30:08 pm GMT+5","Female","CLS","6-9","No","No","3","No","","No","No"
"2020/06/16 6:30:34 pm GMT+5","Female","SDP","10 or more","Yes","No","6","No","","No","Yea but no Therapy"
"2020/06/16 6:32:10 pm GMT+5","Male","CS","0-2","No","No","8","No","Instagram;Facebook;Snapchat","No","Yea but no Therapy"
"2020/06/16 6:32:34 pm GMT+5","Female","SDP","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/16 6:32:47 pm GMT+5","Female","SDP","3-5","Yes","Yes","8","Yes","Facebook","No","Yes"
"2020/06/16 6:33:19 pm GMT+5","Female","CS","3-5","Yes","No","5","Yes","Instagram;Snapchat","No","Yes"
"2020/06/16 6:33:41 pm GMT+5","Female","CS","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/16 6:36:15 pm GMT+5","Female","CND","3-5","Yes","Yes","7","Yes","Instagram;Facebook","No","Yes"
"2020/06/16 6:36:33 pm GMT+5","Female","CND","6-9","Yes","No","6","Yes","Instagram;Facebook;LudoStar","No","Yea but no Therapy"
"2020/06/16 6:37:20 pm GMT+5","Male","SDP","3-5","Yes","No","7","No","","No","Yea but no Therapy"
"2020/06/16 6:38:11 pm GMT+5","Male","EE","3-5","No","No","10","Yes","","No","Yes"
"2020/06/16 6:38:33 pm GMT+5","Female","SDP","3-5","Yes","No","8","No","","No","Yea but no Therapy"
"2020/06/16 6:42:04 pm GMT+5","Male","CS","3-5","Yes","No","7","No","","No","Yea but no Therapy"
"2020/06/16 6:42:36 pm GMT+5","Female","CND","10 or more","No","No","9","Yes","Instagram;Facebook","Yes","Yea but no Therapy"
"2020/06/16 6:42:55 pm GMT+5","Male","EE","3-5","Yes","","10","No","","No","Yea but no Therapy"
"2020/06/16 6:43:51 pm GMT+5","Female","CS","3-5","No","No","10","No","Instagram;Facebook;Snapchat","No","Yea but no Therapy"
"2020/06/16 6:45:33 pm GMT+5","Female","CS","6-9","Yes","Yes","10","Yes","Facebook;PUBG;Tinder/Bumble/Grindr/Any other Dating App;Tiktok","Yes","Yes"
"2020/06/16 6:45:47 pm GMT+5","Male","CS","10 or more","No","","9","No","Instagram;Facebook;LudoStar;Tiktok","No","Yea but no Therapy"
"2020/06/16 6:47:34 pm GMT+5","Male","CS","6-9","No","No","8","No","","No","No"
"2020/06/16 6:48:39 pm GMT+5","Female","SDP","3-5","No","Yes","10","No","","Yes","Yea but no Therapy"
"2020/06/16 6:50:41 pm GMT+5","Male","EE","0-2","No","No","6","No","","Yes","No"
"2020/06/16 6:50:47 pm GMT+5","Female","EE","3-5","Yes","Yes","10","No","","Yes","Yea but no Therapy"
"2020/06/16 6:54:50 pm GMT+5","Male","EE","0-2","No","No","8","No","","No","Yes"
"2020/06/16 6:56:56 pm GMT+5","Male","CS","3-5","No","Yes","5","No","","Yes","No"
"2020/06/16 6:59:33 pm GMT+5","Male","EE","3-5","No","No","9","Yes","Instagram;Facebook;PUBG","No","Yea but no Therapy"
"2020/06/16 7:01:01 pm GMT+5","Male","CS","10 or more","No","No","6","No","","No","Yea but no Therapy"
"2020/06/16 7:06:56 pm GMT+5","Male","EE","3-5","No","No","9","Yes","Facebook;Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/16 7:09:14 pm GMT+5","Female","SDP","10 or more","No","No","7","No","","No","Yea but no Therapy"
"2020/06/16 7:10:08 pm GMT+5","Female","CS","0-2","Yes","No","10","Yes","Instagram;Facebook;LudoStar","No","Yes"
"2020/06/16 7:15:10 pm GMT+5","Male","CS","0-2","Yes","No","4","No","","No","Yea but no Therapy"
"2020/06/16 7:16:16 pm GMT+5","Male","EE","6-9","No","Yes","10","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/16 7:17:29 pm GMT+5","Female","SDP","6-9","No","No","9","Yes","Instagram;PUBG;Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/16 7:17:59 pm GMT+5","Female","CS","3-5","Yes","No","10","No","","No","Yes"
"2020/06/16 7:28:12 pm GMT+5","Male","CS","6-9","Yes","No","10","No","","Yes","Yea but no Therapy"
"2020/06/16 7:29:03 pm GMT+5","Male","EE","3-5","Yes","Yes","10","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yea but no Therapy"
"2020/06/16 7:29:24 pm GMT+5","Male","CS","3-5","Yes","No","8","No","","No","Yea but no Therapy"
"2020/06/16 7:29:28 pm GMT+5","Male","CS","3-5","No","Yes","8","No","","No","Yea but no Therapy"
"2020/06/16 7:30:56 pm GMT+5","Female","CE","3-5","No","No","3","No","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/16 7:31:16 pm GMT+5","Male","CS","10 or more","No","No","6","No","","No","No"
"2020/06/16 7:32:26 pm GMT+5","Female","CND","0-2","No","No","4","No","","No","No"
"2020/06/16 7:33:38 pm GMT+5","Female","CND","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/16 7:33:50 pm GMT+5","Male","EE","10 or more","Yes","Yes","9","No","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/16 7:34:28 pm GMT+5","Female","CS","6-9","Yes","No","6","No","Instagram;Facebook;PUBG;LudoStar;Tinder/Bumble/Grindr/Any other Dating App;Tiktok;Snapchat","No","Yea but no Therapy"
"2020/06/16 7:36:01 pm GMT+5","Male","CS","6-9","Yes","Yes","1","No","","No","Yea but no Therapy"
"2020/06/16 7:36:49 pm GMT+5","Female","CND","3-5","Yes","No","8","Yes","Instagram;Facebook","Yes","Yea but no Therapy"
"2020/06/16 7:37:20 pm GMT+5","Male","CS","0-2","No","No","5","No","","No","No"
"2020/06/16 7:37:47 pm GMT+5","Male","CS","10 or more","Yes","No","8","Yes","Instagram;Facebook;Snapchat","Yes","Yea but no Therapy"
"2020/06/16 7:38:04 pm GMT+5","Female","CS","10 or more","No","No","5","No","","No","No"
"2020/06/16 7:38:30 pm GMT+5","Male","CS","3-5","No","No","4","No","","No","No"
"2020/06/16 7:40:07 pm GMT+5","Female","CND","6-9","No","No","10","No","","No","Yea but no Therapy"
"2020/06/16 7:40:36 pm GMT+5","Female","SDP","0-2","No","No","7","No","","No","Yea but no Therapy"
"2020/06/16 7:41:16 pm GMT+5","Male","CS","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/16 7:41:42 pm GMT+5","Female","EE","3-5","Yes","No","9","No","Instagram;Facebook;LudoStar","No","Yea but no Therapy"
"2020/06/16 7:45:22 pm GMT+5","Male","CS","0-2","No","No","5","No","","No","No"
"2020/06/16 7:45:52 pm GMT+5","","","","","","","","","",""
"2020/06/16 7:45:57 pm GMT+5","","","","","","","","","",""
"2020/06/16 7:46:21 pm GMT+5","Female","","","","","","","","",""
"2020/06/16 7:46:30 pm GMT+5","","","","","","","","","","Yea but no Therapy"
"2020/06/16 7:47:10 pm GMT+5","Male","EE","3-5","No","No","2","No","","No","Yea but no Therapy"
"2020/06/16 7:48:58 pm GMT+5","Male","EE","3-5","No","No","9","No","","No","Yea but no Therapy"
"2020/06/16 7:52:02 pm GMT+5","Male","CS","6-9","No","No","10","No","Instagram;Facebook","Yes","Yea but no Therapy"
"2020/06/16 7:52:03 pm GMT+5","Female","SDP","3-5","No","No","8","No","","No","No"
"2020/06/16 7:52:13 pm GMT+5","Male","EE","0-2","Yes","No","6","No","","No","Yea but no Therapy"
"2020/06/16 7:52:52 pm GMT+5","Male","CS","3-5","No","Yes","6","No","","No","Yea but no Therapy"
"2020/06/16 7:54:26 pm GMT+5","Male","CS","3-5","Yes","No","6","No","","No","Yea but no Therapy"
"2020/06/16 7:55:09 pm GMT+5","Female","CS","10 or more","No","No","8","No","","No","No"
"2020/06/16 7:55:12 pm GMT+5","Female","CS","10 or more","Yes","No","9","No","Instagram","Yes","Yea but no Therapy"
"2020/06/16 7:58:27 pm GMT+5","Female","SDP","6-9","Yes","Yes","3","No","","No","Yea but no Therapy"
"2020/06/16 8:01:17 pm GMT+5","Male","EE","3-5","No","No","10","Yes","Instagram;Facebook","Yes","No"
"2020/06/16 8:03:41 pm GMT+5","Female","CS","0-2","No","No","4","No","","No","Yes"
"2020/06/16 8:04:38 pm GMT+5","Male","CS","0-2","Yes","Yes","5","Yes","Tinder/Bumble/Grindr/Any other Dating App","No","Yes"
"2020/06/16 8:05:06 pm GMT+5","Female","EE","3-5","No","Yes","6","No","","No","Yea but no Therapy"
"2020/06/16 8:05:28 pm GMT+5","Female","SDP","6-9","No","No","10","Yes","Instagram;Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/16 8:07:58 pm GMT+5","Male","SDP","0-2","No","No","9","No","","No","Yea but no Therapy"
"2020/06/16 8:12:27 pm GMT+5","Male","SDP","6-9","No","No","5","No","","Yes","Yea but no Therapy"
"2020/06/16 8:13:28 pm GMT+5","Male","CS","0-2","No","No","3","No","","No","Yea but no Therapy"
"2020/06/16 8:15:06 pm GMT+5","Male","CS","3-5","Yes","No","5","No","","No","Yes"
"2020/06/16 8:18:03 pm GMT+5","Male","CS","0-2","No","No","3","No","","No","Yea but no Therapy"
"2020/06/16 8:18:46 pm GMT+5","Male","EE","3-5","No","No","5","No","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/16 8:21:33 pm GMT+5","Male","CS","0-2","No","No","1","No","PUBG","No","Yea but no Therapy"
"2020/06/16 8:22:14 pm GMT+5","Male","CS","10 or more","Yes","No","8","No","","No","Yea but no Therapy"
"2020/06/16 8:31:53 pm GMT+5","Male","CS","0-2","No","No","5","No","","No","No"
"2020/06/16 8:32:11 pm GMT+5","Male","CS","10 or more","No","No","9","No","","No","Yes"
"2020/06/16 8:35:07 pm GMT+5","Male","EE","0-2","No","No","5","No","","Yes","Yea but no Therapy"
"2020/06/16 8:36:45 pm GMT+5","Female","CS","10 or more","Yes","Yes","8","No","","No","Yea but no Therapy"
"2020/06/16 9:06:57 pm GMT+5","Male","CS","0-2","No","No","8","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/16 9:10:52 pm GMT+5","Female","CND","10 or more","Yes","Yes","9","No","","Yes","Yea but no Therapy"
"2020/06/16 9:13:59 pm GMT+5","Female","CND","6-9","No","No","10","No","","No","No"
"2020/06/16 9:18:48 pm GMT+5","Female","CS","6-9","No","No","8","Yes","","No","Yea but no Therapy"
"2020/06/16 9:19:25 pm GMT+5","Female","CS","10 or more","No","No","7","No","LudoStar","Yes","Yea but no Therapy"
"2020/06/16 9:20:28 pm GMT+5","Female","CLS","6-9","No","No","4","No","","Yes","Yes"
"2020/06/16 9:21:30 pm GMT+5","Female","CS","3-5","Yes","Yes","2","No","","No","Yea but no Therapy"
"2020/06/16 9:22:48 pm GMT+5","Female","SDP","3-5","No","No","6","No","Instagram;Facebook","","Yea but no Therapy"
"2020/06/16 9:23:15 pm GMT+5","Female","SDP","3-5","No","No","10","Yes","Instagram","Yes","Yea but no Therapy"
"2020/06/16 9:28:40 pm GMT+5","Male","CS","6-9","No","No","7","No","Instagram;Snapchat;Whatsapp ","No","Yea but no Therapy"
"2020/06/16 9:38:46 pm GMT+5","Male","CS","10 or more","Yes","Yes","10","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yea but no Therapy"
"2020/06/16 9:47:05 pm GMT+5","Female","CLS","0-2","No","Yes","10","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yes"
"2020/06/16 9:58:04 pm GMT+5","Male","CS","0-2","Yes","No","8","Yes","Instagram;Speaky","No","Yea but no Therapy"
"2020/06/16 9:59:31 pm GMT+5","Male","CS","3-5","No","No","6","No","","Yes","No"
"2020/06/16 10:01:01 pm GMT+5","Female","CND","3-5","Yes","No","4","No","Instagram;Facebook","Yes","Yea but no Therapy"
"2020/06/16 10:06:34 pm GMT+5","Male","SDP","3-5","No","No","10","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App;Tiktok;Snapchat;Twitter","Yes","Yea but no Therapy"
"2020/06/16 10:17:04 pm GMT+5","Male","CE","3-5","No","No","6","No","","No","No"
"2020/06/16 10:19:38 pm GMT+5","Female","SDP","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/16 10:22:39 pm GMT+5","Male","CS","6-9","No","No","6","No","Instagram;Facebook;LudoStar;Snapchat","No","Yea but no Therapy"
"2020/06/16 10:26:13 pm GMT+5","Male","CE","6-9","No","No","10","Yes","Instagram;Facebook;Snapchat","No","Yea but no Therapy"
"2020/06/16 10:34:16 pm GMT+5","Female","CS","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/16 10:35:14 pm GMT+5","Male","CS","3-5","Yes","Yes","4","No","","No","Yea but no Therapy"
"2020/06/16 11:15:44 pm GMT+5","Female","EE","6-9","Yes","Yes","3","No","","No","Yea but no Therapy"
"2020/06/17 12:02:25 am GMT+5","Female","CND","10 or more","No","No","10","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/17 12:10:28 am GMT+5","Male","EE","0-2","No","No","4","No","","No","Yea but no Therapy"
"2020/06/17 12:23:29 am GMT+5","Female","CND","3-5","Yes","No","8","No","","Yes","Yea but no Therapy"
"2020/06/17 12:27:27 am GMT+5","Female","SDP","6-9","No","No","9","Yes","Instagram;Facebook;Twitter","No","Yea but no Therapy"
"2020/06/17 12:31:00 am GMT+5","Male","EE","3-5","No","No","6","No","","No","Yea but no Therapy"
"2020/06/17 12:39:00 am GMT+5","Female","CLS","0-2","No","Yes","10","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yes"
"2020/06/17 1:59:42 am GMT+5","Male","CS","6-9","Yes","Yes","6","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App;Twitter","No","Yea but no Therapy"
"2020/06/17 2:06:33 am GMT+5","Female","SDP","3-5","No","No","8","Yes","Instagram;Facebook;Twitter","Yes","Yea but no Therapy"
"2020/06/17 2:38:44 am GMT+5","Female","SDP","3-5","No","Yes","10","Yes","Instagram;Facebook;Twitter","No","Yea but no Therapy"
"2020/06/17 2:39:53 am GMT+5","Male","CS","0-2","No","No","6","Yes","Instagram;Tinder/Bumble/Grindr/Any other Dating App;Twitter","No","No"
"2020/06/17 2:40:24 am GMT+5","Female","SDP","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/17 2:43:09 am GMT+5","Male","CND","6-9","Yes","No","7","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yea but no Therapy"
"2020/06/17 2:44:51 am GMT+5","Female","CS","10 or more","No","Yes","5","No","Instagram;Facebook;LudoStar;Snapchat","No","No"
"2020/06/17 2:54:44 am GMT+5","Female","CS","3-5","Yes","Yes","10","No","","Yes","Yea but no Therapy"
