"Timestamp","Gender","Major","How many friends would you say you were extremely close to before quarantine happened?"," Did you reconsider your friendship with your current friends and (re)consider ending the ties with some?","Have you lost any friends since the lockdown?","How much do you use social media in quarantine to stay in touch with your friends?","Did you actively try to interact with new people through social media in order to make new friends during the quarantine?","If yes then which applications did you use from the following (Check as many as you want): ","Have you made any new friends during quarantine from Habib?","Did your mental health suffer during the pandemic? And did you take part in online therapy for it?"
"2020/06/17 4:43:52 am GMT+5","Female","SDP","3-5","Yes","No","9","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/17 7:07:16 am GMT+5","Male","EE","3-5","No","No","9","No","","Yes","Yea but no Therapy"
"2020/06/17 7:24:27 am GMT+5","Female","CS","3-5","No","No","7","Yes","Instagram;Snapchat;Twitter","No","Yea but no Therapy"
"2020/06/17 9:05:40 am GMT+5","Female","CS","6-9","No","No","8","Yes","Twitter;Whatsapp","No","Yea but no Therapy"
"2020/06/17 11:21:13 am GMT+5","Female","SDP","3-5","No","No","8","Yes","Instagram;Facebook;Twitter","Yes","Yea but no Therapy"
"2020/06/17 11:23:21 am GMT+5","Male","EE","3-5","No","No","7","No","Instagram;Facebook;PUBG;Snapchat","No","Yea but no Therapy"
"2020/06/17 11:33:14 am GMT+5","Female","EE","6-9","No","No","9","Yes","Instagram;Facebook;Tiktok","Yes","Yea but no Therapy"
"2020/06/17 12:57:42 pm GMT+5","Female","EE","6-9","No","No","8","No","","Yes","Yea but no Therapy"
"2020/06/17 12:59:48 pm GMT+5","you know ;)","CS","10 or more","Yes","Yes","1","No","github","No","Yea but no Therapy"
"2020/06/17 1:08:13 pm GMT+5","Male","EE","0-2","No","No","5","Yes","Facebook;Snapchat","Yes","Yea but no Therapy"
"2020/06/17 2:07:07 pm GMT+5","Male","CND","10 or more","No","No","4","No","","No","No"
"2020/06/17 2:31:14 pm GMT+5","Female","CS","6-9","Yes","Yes","4","No","","No","Yea but no Therapy"
"2020/06/17 2:32:10 pm GMT+5","Male","EE","3-5","No","No","10","No","Facebook;Snapchat;Discord","Yes","Yea but no Therapy"
"2020/06/17 2:32:25 pm GMT+5","Female","SDP","0-2","Yes","No","7","No","","No","Yea but no Therapy"
"2020/06/17 2:34:09 pm GMT+5","Female","SDP","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/17 2:34:36 pm GMT+5","Female","SDP","3-5","No","No","8","No","","Yes","No"
"2020/06/17 2:34:38 pm GMT+5","Female","CS","0-2","No","No","5","No","","Yes","No"
"2020/06/17 2:35:21 pm GMT+5","Female","SDP","10 or more","Yes","Yes","9","Yes","Facebook;Twitter","Yes","Yes"
"2020/06/17 2:35:45 pm GMT+5","Male","EE","3-5","No","No","9","Yes","Instagram;Facebook;PUBG;Snapchat","Yes","Yea but no Therapy"
"2020/06/17 2:38:06 pm GMT+5","Female","EE","3-5","No","No","8","No","","Yes","No"
"2020/06/17 2:38:28 pm GMT+5","Female","SDP","6-9","No","No","9","No","","No","Yea but no Therapy"
"2020/06/17 2:38:38 pm GMT+5","Female","CS","3-5","No","No","7","Yes","Instagram;Snapchat","Yes","Yes"
"2020/06/17 2:44:29 pm GMT+5","Male","CS","3-5","Yes","No","6","No","","No","Yea but no Therapy"
"2020/06/17 2:44:58 pm GMT+5","Female","SDP","3-5","Yes","No","7","No","","No","Yea but no Therapy"
"2020/06/17 2:48:27 pm GMT+5","Female","SDP","10 or more","No","No","10","Yes","Instagram","No","Yes"
"2020/06/17 2:49:07 pm GMT+5","Male","SDP","3-5","Yes","Yes","1","No","PUBG;i have deleted Social Media, due to excessive screen time. (Except Whatsapp) ","No","Yea but no Therapy"
"2020/06/17 2:49:49 pm GMT+5","Male","EE","0-2","No","No","8","No","","No","Yea but no Therapy"
"2020/06/17 2:50:48 pm GMT+5","Female","EE","3-5","No","No","5","Yes","WhatsApp","Yes","Yea but no Therapy"
"2020/06/17 2:51:07 pm GMT+5","Female","SDP","3-5","No","No","4","No","","No","No"
"2020/06/17 2:52:22 pm GMT+5","Female","SDP","3-5","Yes","Yes","9","No","","No","Yea but no Therapy"
"2020/06/17 2:56:37 pm GMT+5","Male","CS","6-9","No","No","8","No","","No","Yea but no Therapy"
"2020/06/17 2:57:31 pm GMT+5","Female","CS","3-5","Yes","Yes","10","Yes","Instagram;PUBG;Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/17 2:58:22 pm GMT+5","Female","CND","3-5","No","No","10","No","","Yes","Yea but no Therapy"
"2020/06/17 3:00:38 pm GMT+5","Male","CS","3-5","Yes","No","8","No","","No","Yea but no Therapy"
"2020/06/17 3:02:30 pm GMT+5","Female","CND","10 or more","No","No","4","No","","No","Yea but no Therapy"
"2020/06/17 3:03:13 pm GMT+5","Female","SDP","6-9","Yes","No","8","No","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/17 3:04:34 pm GMT+5","Female","CND","3-5","Yes","Yes","5","Yes","Instagram","Yes","Yes"
"2020/06/17 3:07:40 pm GMT+5","","SDP","10 or more","No","No","10","No","","No","Yea but no Therapy"
"2020/06/17 3:09:59 pm GMT+5","Male","EE","0-2","Yes","Yes","8","No","","Yes","Yea but no Therapy"
"2020/06/17 3:10:35 pm GMT+5","Female","CND","3-5","No","No","9","No","","No","Yea but no Therapy"
"2020/06/17 3:11:54 pm GMT+5","Female","SDP","3-5","Yes","No","10","No","","No","Yea but no Therapy"
"2020/06/17 3:13:38 pm GMT+5","Female","SDP","6-9","Yes","Yes","5","No","","No","Yea but no Therapy"
"2020/06/17 3:15:32 pm GMT+5","Male","CS","0-2","No","No","3","Yes","Instagram","No","Yea but no Therapy"
"2020/06/17 3:15:58 pm GMT+5","Female","CS","6-9","No","No","9","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/17 3:16:58 pm GMT+5","Female","CND","6-9","No","No","6","Yes","Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/17 3:19:54 pm GMT+5","Female","CND","3-5","No","No","10","Yes","Twitter","No","Yea but no Therapy"
"2020/06/17 3:20:26 pm GMT+5","Female","CND","3-5","No","No","3","No","","No","Yea but no Therapy"
"2020/06/17 3:21:23 pm GMT+5","Female","SDP","6-9","No","Yes","4","No","","No","Yes"
"2020/06/17 3:24:18 pm GMT+5","Female","CS","0-2","No","No","4","No","","No","Yea but no Therapy"
"2020/06/17 3:29:04 pm GMT+5","Male","EE","3-5","Yes","No","5","Yes","Facebook;Snapchat","Yes","Yea but no Therapy"
"2020/06/17 3:34:15 pm GMT+5","Female","EE","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/17 3:34:33 pm GMT+5","Male","EE","3-5","No","No","9","No","","No","Yea but no Therapy"
"2020/06/17 3:37:10 pm GMT+5","Female","CS","0-2","Yes","Yes","6","No","Instagram;Facebook;Twitter","No","No"
"2020/06/17 3:41:11 pm GMT+5","Male","CS","0-2","No","No","4","No","","No","Yea but no Therapy"
"2020/06/17 3:42:08 pm GMT+5","Male","CS","0-2","No","No","10","Yes","Instagram;Facebook;PUBG","Yes","No"
"2020/06/17 3:43:38 pm GMT+5","Female","CS","3-5","No","No","5","No","","No","Yea but no Therapy"
"2020/06/17 3:53:01 pm GMT+5","Female","CE","3-5","Yes","No","6","No","","Yes","Yea but no Therapy"
"2020/06/17 3:53:49 pm GMT+5","Female","SDP","0-2","No","No","10","No","","No","Yea but no Therapy"
"2020/06/17 3:55:26 pm GMT+5","Female","SDP","6-9","No","No","10","No","","Yes","Yea but no Therapy"
"2020/06/17 3:55:41 pm GMT+5","Female","CS","3-5","No","No","9","No","","No","Yea but no Therapy"
"2020/06/17 4:12:40 pm GMT+5","Male","EE","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/17 4:16:26 pm GMT+5","Female","SDP","0-2","No","No","5","No","","No","Yea but no Therapy"
"2020/06/17 4:23:09 pm GMT+5","Female","CS","3-5","No","No","10","No","","No","No"
"2020/06/17 4:24:34 pm GMT+5","Male","CS","3-5","No","No","6","Yes","Instagram;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yea but no Therapy"
"2020/06/17 4:32:39 pm GMT+5","Male","EE","10 or more","Yes","No","8","","Instagram;Facebook;whatsapp","Yes","Yea but no Therapy"
"2020/06/17 4:36:36 pm GMT+5","Male","EE","3-5","No","No","4","No","","No","Yea but no Therapy"
"2020/06/17 4:49:47 pm GMT+5","enbie","SDP","3-5","Yes","Yes","4","No","","No","Yea but no Therapy"
"2020/06/17 4:50:03 pm GMT+5","Male","CS","3-5","No","Yes","7","No","","Yes","Yea but no Therapy"
"2020/06/17 4:53:30 pm GMT+5","Female","CS","3-5","No","No","8","No","Instagram;Facebook;LudoStar;Snapchat","No","No"
"2020/06/17 5:35:29 pm GMT+5","Male","CS","0-2","Yes","Yes","5","Yes","Instagram;Facebook;PUBG;Tinder/Bumble/Grindr/Any other Dating App;Tiktok;Snapchat;Twitter","No","Yea but no Therapy"
"2020/06/17 5:49:13 pm GMT+5","Male","EE","10 or more","Yes","Yes","10","Yes","Instagram;Facebook;LudoStar;Twitter","Yes","Yea but no Therapy"
"2020/06/17 5:54:25 pm GMT+5","Male","CS","6-9","No","No","8","Yes","Instagram;Facebook","Yes","No"
"2020/06/17 6:01:51 pm GMT+5","Female","SDP","0-2","Yes","Yes","9","Yes","Instagram;Facebook;LudoStar;Tinder/Bumble/Grindr/Any other Dating App;Tiktok;Snapchat;Twitter","Yes","Yes"
"2020/06/17 6:02:41 pm GMT+5","Female","SDP","3-5","No","No","5","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/17 6:06:18 pm GMT+5","Female","CND","0-2","No","No","8","No","","No","No"
"2020/06/17 6:06:36 pm GMT+5","Female","SDP","6-9","Yes","No","7","No","","No","No"
"2020/06/17 6:09:44 pm GMT+5","Female","SDP","3-5","No","No","9","No","","No","Yea but no Therapy"
"2020/06/17 6:20:35 pm GMT+5","Female","CS","3-5","No","No","10","Yes","Instagram;Facebook;LudoStar;Whatsapp","No","Yea but no Therapy"
"2020/06/17 6:23:54 pm GMT+5","Male","CS","10 or more","Yes","Yes","7","No","","No","No"
"2020/06/17 6:29:48 pm GMT+5","Female","EE","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/17 6:43:25 pm GMT+5","Female","CND","6-9","Yes","No","8","No","","No","Yea but no Therapy"
"2020/06/17 7:40:16 pm GMT+5","Male","CS","10 or more","No","No","7","Yes","Snapchat;Discord","Yes","Yea but no Therapy"
"2020/06/17 7:50:26 pm GMT+5","Male","SDP","3-5","No","Yes","10","No","","No","No"
"2020/06/17 8:09:39 pm GMT+5","Male","EE","0-2","No","No","2","No","Instagram;Facebook;Twitter","No","No"
"2020/06/17 8:48:21 pm GMT+5","Male","CS","0-2","Yes","No","10","No","Instagram;Facebook;PUBG;Twitter","No","Yea but no Therapy"
"2020/06/17 8:56:32 pm GMT+5","Male","EE","10 or more","Yes","No","10","Yes","Instagram;Facebook;PUBG;LudoStar","Yes","Yea but no Therapy"
"2020/06/17 9:06:15 pm GMT+5","Female","SDP","3-5","No","No","5","No","","No","Yea but no Therapy"
"2020/06/17 9:11:17 pm GMT+5","Female","SDP","3-5","No","No","7","Yes","Instagram;Facebook;Snapchat","No","Yea but no Therapy"
"2020/06/17 9:15:46 pm GMT+5","Male","CS","6-9","No","No","9","Yes","Instagram;Facebook;LudoStar","No","Yea but no Therapy"
"2020/06/17 9:56:07 pm GMT+5","Female","CND","3-5","No","No","9","Yes","Facebook","Yes","Yea but no Therapy"
"2020/06/17 10:03:35 pm GMT+5","Female","CS","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/17 11:08:24 pm GMT+5","Female","CND","6-9","Yes","Yes","2","No","","No","Yea but no Therapy"
"2020/06/17 11:14:22 pm GMT+5","Male","CND","6-9","No","No","8","Yes","Instagram;Tinder/Bumble/Grindr/Any other Dating App;Snapchat","No","Yea but no Therapy"
"2020/06/18 1:27:08 am GMT+5","Female","CND","0-2","Yes","Yes","7","No","Instagram;Facebook;Snapchat","No","Yea but no Therapy"
"2020/06/18 3:08:43 am GMT+5","Female","SDP","3-5","Yes","Yes","7","No","","Yes","Yea but no Therapy"
"2020/06/18 4:47:15 am GMT+5","Female","CND","3-5","No","No","5","Yes","Twitter","No","Yea but no Therapy"
"2020/06/18 4:54:14 am GMT+5","Male","SDP","6-9","No","Yes","10","Yes","Instagram;Tinder/Bumble/Grindr/Any other Dating App;Snapchat","No","Yes"
"2020/06/18 8:50:19 am GMT+5","Male","EE","6-9","No","No","8","Yes","Instagram;Facebook;LudoStar","Yes","Yea but no Therapy"
"2020/06/18 11:03:01 am GMT+5","Male","CND","3-5","No","No","6","No","","No","Yea but no Therapy"
"2020/06/18 12:07:10 pm GMT+5","Female","EE","3-5","Yes","Yes","9","No","","No","No"
"2020/06/18 1:51:23 pm GMT+5","Female","SDP","6-9","Yes","Yes","6","Yes","Instagram;Facebook;PUBG","No","Yea but no Therapy"
"2020/06/18 4:33:04 pm GMT+5","Female","SDP","3-5","No","No","10","Yes","Instagram;Facebook;Snapchat","Yes","Yea but no Therapy"
"2020/06/18 5:15:39 pm GMT+5","Female","SDP","6-9","Yes","Yes","9","No","","No","Yea but no Therapy"
"2020/06/18 6:25:50 pm GMT+5","Female","SDP","3-5","No","No","5","No","","No","Yea but no Therapy"
"2020/06/18 8:39:53 pm GMT+5","Male","CND","6-9","Yes","No","4","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/18 10:09:29 pm GMT+5","Male","CS","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/18 11:26:06 pm GMT+5","Male","CS","0-2","Yes","No","5","Yes","Instagram","Yes","Yea but no Therapy"
"2020/06/19 12:05:20 am GMT+5","Female","SDP","3-5","No","No","6","No","Instagram;Facebook","No","Yes"
"2020/06/19 12:10:03 am GMT+5","Male","EE","6-9","Yes","Yes","10","Yes","LudoStar","Yes","No"
"2020/06/19 12:17:00 am GMT+5","Male","CS","6-9","Yes","No","7","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App;Snapchat","Yes","Yea but no Therapy"
"2020/06/19 12:19:39 am GMT+5","Female","CND","6-9","No","No","8","No","Instagram;Snapchat","No","Yea but no Therapy"
"2020/06/19 12:19:40 am GMT+5","Male","CS","3-5","Yes","Yes","3","No","","No","No"
"2020/06/19 12:20:21 am GMT+5","Male","CS","0-2","No","No","10","Yes","Instagram;Facebook;LudoStar;Snapchat","Yes","Yea but no Therapy"
"2020/06/19 12:34:04 am GMT+5","Female","CND","3-5","No","No","4","Yes","Instagram;Twitter","Yes","Yea but no Therapy"
"2020/06/19 12:34:26 am GMT+5","Male","CLS","0-2","No","No","3","Yes","Facebook","No","No"
"2020/06/19 12:34:52 am GMT+5","Female","EE","3-5","Yes","No","8","No","Facebook;LudoStar;Snapchat","No","Yea but no Therapy"
"2020/06/19 12:40:21 am GMT+5","Female","CND","10 or more","No","Yes","7","No","","Yes","Yea but no Therapy"
"2020/06/19 12:43:03 am GMT+5","Female","CND","6-9","No","No","7","No","","No","No"
"2020/06/19 12:43:13 am GMT+5","Female","CS","0-2","No","No","8","No","","No","No"
"2020/06/19 12:49:31 am GMT+5","Male","CS","6-9","No","Yes","8","No","","No","Yea but no Therapy"
"2020/06/19 12:50:24 am GMT+5","Female","SDP","10 or more","No","No","1","No","none","No","Yea but no Therapy"
"2020/06/19 12:54:16 am GMT+5","Female","CND","3-5","No","No","6","Yes","Facebook","Yes","Yea but no Therapy"
"2020/06/19 12:59:26 am GMT+5","Female","CND","3-5","No","No","10","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/19 1:26:00 am GMT+5","Female","SDP","3-5","No","Yes","5","No","","No","Yea but no Therapy"
"2020/06/19 3:15:29 am GMT+5","Female","CS","3-5","Yes","Yes","3","Yes","Discord","No","Yea but no Therapy"
"2020/06/19 3:49:43 am GMT+5","Female","CND","0-2","Yes","No","3","No","","No","Yes"
"2020/06/19 3:51:26 am GMT+5","Male","CS","6-9","No","Yes","10","No","","Yes","Yea but no Therapy"
"2020/06/19 3:51:48 am GMT+5","Female","CND","0-2","Yes","No","3","No","","No","Yes"
"2020/06/19 3:56:19 am GMT+5","Female","CND","3-5","No","No","7","No","","No","Yes"
"2020/06/19 4:10:31 am GMT+5","Male","CS","3-5","No","No","10","No","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/19 5:19:50 am GMT+5","Male","SDP","0-2","No","No","3","No","","No","Yea but no Therapy"
"2020/06/19 9:16:02 am GMT+5","Male","EE","3-5","No","No","7","No","","No","No"
"2020/06/19 9:25:38 am GMT+5","Male","","3-5","No","No","4","Yes","Facebook;PUBG;Tinder/Bumble/Grindr/Any other Dating App;Snapchat;Twitter","Yes","Yea but no Therapy"
"2020/06/19 11:40:20 am GMT+5","Male","CS","3-5","No","No","4","No","","Yes","No"
"2020/06/19 12:08:22 pm GMT+5","Female","CND","6-9","Yes","Yes","10","Yes","Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/19 12:58:27 pm GMT+5","Female","EE","3-5","Yes","No","7","No","","No","Yes"
"2020/06/19 1:21:14 pm GMT+5","Male","EE","0-2","No","No","6","No","","No","No"
"2020/06/19 2:31:54 pm GMT+5","Male","CS","6-9","No","No","9","No","","No","Yea but no Therapy"
"2020/06/19 10:26:22 pm GMT+5","Female","CS","6-9","No","Yes","1","No","Twitter","No","Yea but no Therapy"
"2020/06/19 11:17:49 pm GMT+5","Female","CND","3-5","No","No","8","No","","No","Yea but no Therapy"
"2020/06/20 4:03:51 am GMT+5","Female","CS","10 or more","Yes","Yes","9","No","Instagram;Facebook;PUBG;Tinder/Bumble/Grindr/Any other Dating App;Tiktok","Yes","Yes"
"2020/06/20 5:41:03 am GMT+5","Male","CS","6-9","No","No","10","No","","No","No"
"2020/06/20 2:49:32 pm GMT+5","Female","SDP","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/20 3:32:27 pm GMT+5","Male","CS","0-2","No","No","7","No","","No","Yea but no Therapy"
"2020/06/21 8:49:29 pm GMT+5","Female","EE","0-2","No","No","7","No","","Yes","Yea but no Therapy"
"2020/06/21 9:20:57 pm GMT+5","Female","SDP","10 or more","No","No","8","No","","No","Yea but no Therapy"
"2020/06/21 9:56:31 pm GMT+5","Female","SDP","3-5","No","Yes","5","Yes","Instagram;Snapchat","Yes","Yea but no Therapy"
"2020/06/21 10:02:55 pm GMT+5","Female","CND","3-5","Yes","Yes","8","No","","No","Yea but no Therapy"
"2020/06/22 6:05:16 pm GMT+5","Female","CND","3-5","Yes","No","9","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App;Scrabble","No","Yes"
"2020/06/24 11:50:32 am GMT+5","Female","CND","3-5","No","No","10","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/24 1:54:54 pm GMT+5","Female","SDP","3-5","No","No","5","No","","No","No"
"2020/06/24 1:55:34 pm GMT+5","Female","CND","6-9","Yes","Yes","8","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App;Snapchat","Yes","Yes"